morpheme,occurrence,type
antenno,2,neoclassical
mammo,2,neoclassical
angulo,2,neoclassical
presby,2,neoclassical
naturo,2,neoclassical
gyneco,2,neoclassical
sensori,2,neoclassical
ombro,2,neoclassical
pericardio,2,neoclassical
nekto,2,neoclassical
toxo,2,neoclassical
foveo,2,neoclassical
respiro,2,neoclassical
ictero,2,neoclassical
maculo,2,neoclassical
capno,2,neoclassical
acu,2,neoclassical
pluvio,2,neoclassical
asialo,2,neoclassical
methano,2,neoclassical
sinu,2,neoclassical
hippocampo,2,neoclassical
chao,2,neoclassical
ocello,2,neoclassical
cancero,2,neoclassical
tapho,2,neoclassical
tergo,2,neoclassical
climo,2,neoclassical
aft,2,neoclassical
stibo,2,neoclassical
tany,2,neoclassical
phanero,2,neoclassical
taxono,2,neoclassical
sexo,2,neoclassical
meteo,2,neoclassical
rhombi,2,neoclassical
glucosyl,2,neoclassical
kino,2,neoclassical
adelpho,2,neoclassical
loki,2,neoclassical
carto,2,neoclassical
phospha,2,neoclassical
seno,2,neoclassical
flexi,2,neoclassical
anglo,2,
euro,2,
succinyl,2,neoclassical
to#Etymology_2,1,
tessara,1,neoclassical
ful,1,neoclassical
nocti,1,neoclassical
astheno,1,neoclassical
umb,1,neoclassical
deipno,1,neoclassical
extro,1,neoclassical
Syro,1,neoclassical
viginti,1,neoclassical
nomino,1,neoclassical
and,1,
xiphidio,1,neoclassical
germano,1,neoclassical
butyro,1,neoclassical
cero,1,neoclassical
taut,1,neoclassical
glycosamino,1,neoclassical
ino,1,neoclassical
chion,1,neoclassical
Arcado,1,neoclassical
Luso,1,neoclassical
vacci,1,neoclassical
olan,1,neoclassical
o,1,
Macedo,1,neoclassical
baculo,1,neoclassical
formo,1,neoclassical
war,1,
lact,1,neoclassical
gluta,1,neoclassical
hepto,1,neoclassical
pento,1,neoclassical
hypso,1,neoclassical
unfeigned,1,neoclassical
az,1,neoclassical
hipp,1,neoclassical
Uto,1,neoclassical
deaza,1,neoclassical
arte,1,neoclassical
acanth,1,neoclassical
nido,1,neoclassical
Malayo,1,neoclassical
baryto,1,neoclassical
exbi,1,neoclassical
meco,1,neoclassical
aesthesio,1,neoclassical
asparto,1,neoclassical
staphylo,1,neoclassical
propy,1,neoclassical
homœ,1,neoclassical
cumulo,1,neoclassical
milna,1,neoclassical
ond,1,neoclassical
repa,1,neoclassical
nate,1,neoclassical
pentakis,1,neoclassical
equ,1,neoclassical
creno,1,neoclassical
zo,1,neoclassical
cerio,1,neoclassical
hexakis,1,neoclassical
perchloro,1,neoclassical
stygo,1,neoclassical
contro,1,neoclassical
patello,1,neoclassical
trit,1,neoclassical
auri,1,neoclassical
stato,1,neoclassical
hoplo,1,neoclassical
Tibeto,1,neoclassical
magni,1,neoclassical
Nilo,1,neoclassical
enna,1,neoclassical
Celto,1,neoclassical
n,1,
gynæco,1,neoclassical
clado,1,neoclassical
palae,1,neoclassical
pæd,1,neoclassical
pædo,1,neoclassical
xyr,1,neoclassical
here,1,neoclassical
Cambro,1,neoclassical
pallado,1,neoclassical
uran,1,neoclassical
vanado,1,neoclassical
vanadio,1,neoclassical
lithio,1,neoclassical
scandio,1,neoclassical
cor,1,neoclassical
typho,1,neoclassical
nervo,1,neoclassical
enter,1,neoclassical
gloss,1,neoclassical
mechanico,1,neoclassical
gab,1,neoclassical
mes,1,neoclassical
axono,1,neoclassical
praseo,1,neoclassical
ureo,1,neoclassical
pluto,1,neoclassical
spondyl,1,neoclassical
succin,1,neoclassical
haema,1,neoclassical
meno,1,neoclassical
Moeso,1,neoclassical
decidual,1,neoclassical
brom,1,neoclassical
iod,1,neoclassical
epta,1,neoclassical
ene,1,neoclassical
dalt,1,neoclassical
metho,1,neoclassical
Italo,1,
Helleno,1,
Fenno,1,
sal,1,neoclassical
thi,1,neoclassical
bentho,1,neoclassical
oryzo,1,neoclassical
salazo,1,neoclassical
nitr,1,neoclassical
cyan,1,neoclassical
calori,1,neoclassical
rumino,1,neoclassical
skoto,1,neoclassical
quadro,1,neoclassical
apeiro,1,neoclassical
physi,1,neoclassical
imido,1,neoclassical
cubo,1,neoclassical
ʟ,1,
picto,1,neoclassical
magico,1,neoclassical
muci,1,neoclassical
transitive,1,neoclassical
bronto,1,neoclassical
moto,1,neoclassical
psych,1,neoclassical
frigo,1,neoclassical
über,1,
thallo,1,neoclassical
rhyncho,1,neoclassical
Zio,1,
centralo,1,neoclassical
choro,1,neoclassical
lingua,1,neoclassical
ovulo,1,neoclassical
Yugo,1,
Palaeo,1,neoclassical
cobalto,1,neoclassical
decentralise,1,
Brito,1,
equina,1,neoclassical
parvi,1,neoclassical
accelero,1,neoclassical
un#Etymology_2,1,
vitello,1,neoclassical
heredo,1,neoclassical
tapeto,1,neoclassical
tendino,1,neoclassical
histio,1,neoclassical
lign,1,neoclassical
diphthero,1,neoclassical
longi,1,neoclassical
stromo,1,neoclassical
tonsillo,1,neoclassical
malario,1,neoclassical
sympathico,1,
scuto,1,neoclassical
valvo,1,neoclassical
phoro,1,neoclassical
semanto,1,neoclassical
kerat,1,neoclassical
dynamo,1,neoclassical
pleo,1,neoclassical
countertextual,1,
ossi,1,neoclassical
fissi,1,neoclassical
plumo,1,neoclassical
etho,1,neoclassical
mesangio,1,neoclassical
diathermo,1,neoclassical
fascio,1,neoclassical
cholo,1,neoclassical
pyrrolo,1,neoclassical
diffeo,1,neoclassical
fungi,1,neoclassical
men,1,
epididymo,1,neoclassical
metalla,1,neoclassical
kata,1,neoclassical
hectokilo,1,neoclassical
t,1,
contacto,1,neoclassical
therio,1,neoclassical
capitulo,1,neoclassical
lacrimo,1,neoclassical
Hurro,1,neoclassical
clito,1,neoclassical
hyps,1,neoclassical
amato,1,neoclassical
fasciculo,1,neoclassical
cutaneo,1,neoclassical
pinko,1,neoclassical
intestino,1,neoclassical
gluteo,1,neoclassical
ophio,1,neoclassical
potamo,1,neoclassical
Bat,1,
seismi,1,neoclassical
acr,1,
affecto,1,neoclassical
appendico,1,neoclassical
atlo,1,neoclassical
calco,1,neoclassical
calloso,1,neoclassical
cemento,1,neoclassical
clavi,1,neoclassical
elastico,1,neoclassical
allato,1,neoclassical
folliculo,1,neoclassical
laeo,1,neoclassical
entorhino,1,neoclassical
balano,1,neoclassical
cruro,1,neoclassical
ceco,1,neoclassical
pineo,1,neoclassical
mamillo,1,neoclassical
diencephalo,1,neoclassical
mammilo,1,neoclassical
rubro,1,neoclassical
germo,1,neoclassical
squamoso,1,neoclassical
docosa,1,neoclassical
allergo,1,neoclassical
agno,1,neoclassical
cello,1,neoclassical
fumi,1,neoclassical
attico,1,neoclassical
supre,1,neoclassical
arcto,1,neoclassical
dentalo,1,neoclassical
iliaco,1,neoclassical
caseo,1,neoclassical
oophoro,1,neoclassical
celiaco,1,neoclassical
ona,1,neoclassical
clono,1,neoclassical
stoichio,1,neoclassical
syllecto,1,neoclassical
chimero,1,neoclassical
cyrto,1,neoclassical
eicosa,1,neoclassical
haptico,1,neoclassical
teleio,1,neoclassical
ellipto,1,neoclassical
reni,1,neoclassical
articulo,1,neoclassical
coeruleo,1,neoclassical
corono,1,neoclassical
phobo,1,neoclassical
galvo,1,neoclassical
dromo,1,neoclassical
crio,1,neoclassical
trabeculo,1,neoclassical
intesto,1,neoclassical
tendo,1,neoclassical
peroxy,1,neoclassical
pleni,1,neoclassical
indeno,1,neoclassical
api,1,neoclassical
otico,1,neoclassical
capito,1,neoclassical
pudendo,1,neoclassical
cario,1,neoclassical
ostio,1,neoclassical
plexo,1,neoclassical
zygoto,1,neoclassical
silvi,1,neoclassical
bacillo,1,neoclassical
eleuthero,1,neoclassical
palmo,1,neoclassical
hydrido,1,neoclassical
stathmo,1,neoclassical
grano,1,neoclassical
lumino,1,neoclassical
ramo,1,neoclassical
chordo,1,neoclassical
popliteo,1,neoclassical
ribonucleo,1,neoclassical
campylo,1,neoclassical
caulo,1,neoclassical
tyro,1,neoclassical
rifa,1,neoclassical
hodo,1,neoclassical
dieto,1,neoclassical
areolo,1,neoclassical
rugulo,1,neoclassical
prostato,1,neoclassical
rugo,1,neoclassical
solvo,1,neoclassical
ducto,1,neoclassical
proso,1,neoclassical
oscillo,1,neoclassical
trapezio,1,neoclassical
un#Etymology_1,1,
histolo,1,neoclassical
volcano,1,neoclassical
canalo,1,neoclassical
externo,1,neoclassical
plantaro,1,neoclassical
uvulo,1,neoclassical
limbo,1,neoclassical
densito,1,neoclassical
acetabulo,1,neoclassical
mixo,1,neoclassical
pelago,1,neoclassical
causto,1,neoclassical
synovio,1,neoclassical
altero,1,neoclassical
cribro,1,neoclassical
pesca,1,neoclassical
archæo,1,neoclassical
pulpo,1,neoclassical
basio,1,neoclassical
ophidio,1,neoclassical
insulo,1,neoclassical
labro,1,neoclassical
staturo,1,neoclassical
epilepto,1,neoclassical
interio,1,neoclassical
quadra,1,neoclassical
septico,1,neoclassical
parotideo,1,neoclassical
tetracosa,1,neoclassical
midi,1,neoclassical
taxo,1,neoclassical
&amp;beta;,1,
lachrymo,1,neoclassical
Cypro,1,
dual,1,neoclassical
lith,1,neoclassical
plasmo,1,neoclassical
pepto,1,neoclassical
hella,1,neoclassical
nigro,1,neoclassical
pelagi,1,neoclassical
intradermo,1,neoclassical
endocrino,1,neoclassical
tango,1,neoclassical
fabello,1,neoclassical
nomo,1,neoclassical
interno,1,neoclassical
pulmo,1,neoclassical
sinuso,1,neoclassical
kalo,1,neoclassical
genu,1,neoclassical
gephyro,1,neoclassical
sulco,1,neoclassical
viri,1,neoclassical
coli,1,neoclassical
omento,1,neoclassical
mamma,1,neoclassical
coronaro,1,neoclassical
meibo,1,neoclassical
pupillo,1,neoclassical
Turco,1,
zyme,1,neoclassical
παρά,1,
u,1,
coni,1,neoclassical
nycto,1,neoclassical
