morpheme,occurrence,type
spiro,28,neoclassical
rhizo,28,neoclassical
clinico,28,neoclassical
elasto,28,neoclassical
tubulo,28,neoclassical
cosmo,27,neoclassical
pheno,27,neoclassical
kerato,27,neoclassical
robo,27,neoclassical
retino,27,neoclassical
mero,27,neoclassical
topo,27,neoclassical
galacto,27,neoclassical
proteo,27,neoclassical
nona,27,neoclassical
spino,27,neoclassical
ur,27,
at,27,
ichno,26,neoclassical
perma,26,neoclassical
anarcho,26,neoclassical
ambi,26,neoclassical
homeo,26,neoclassical
quinque,26,neoclassical
yester,25,neoclassical
xero,25,neoclassical
dextro,25,neoclassical
ovo,25,neoclassical
vibro,25,neoclassical
visuo,25,neoclassical
dex,25,neoclassical
dihydro,25,neoclassical
azo,24,neoclassical
ob,24,neoclassical
ferri,24,
musculo,24,neoclassical
cephalo,24,neoclassical
bacterio,24,neoclassical
y,24,
oxa,24,neoclassical
gravi,24,neoclassical
pharyngo,24,neoclassical
aceto,23,neoclassical
sulpho,23,neoclassical
brachy,23,neoclassical
sacro,23,neoclassical
rhino,23,neoclassical
copro,23,neoclassical
recto,23,neoclassical
caudo,23,neoclassical
where,22,
agri,22,neoclassical
audio,22,
dodeca,22,neoclassical
pauci,22,neoclassical
mito,22,neoclassical
cine,22,neoclassical
mesio,22,neoclassical
ichthyo,22,neoclassical
afore,21,neoclassical
gain,21,neoclassical
uber,21,
zygo,21,neoclassical
carbo,21,neoclassical
thyro,21,neoclassical
pleuro,21,neoclassical
andro,21,neoclassical
chlor,21,neoclassical
occipito,21,neoclassical
dermo,21,neoclassical
hypno,20,neoclassical
labio,20,neoclassical
athero,20,neoclassical
theo,20,neoclassical
boro,20,neoclassical
encephalo,20,neoclassical
lyso,20,neoclassical
reno,20,neoclassical
perfluoro,20,neoclassical
apico,20,neoclassical
great,19,neoclassical
new,19,neoclassical
duo,19,neoclassical
toxico,19,neoclassical
sclero,19,neoclassical
baso,19,neoclassical
laryngo,19,neoclassical
melano,19,neoclassical
xantho,19,neoclassical
karyo,19,neoclassical
costo,19,neoclassical
spheno,19,neoclassical
veno,19,neoclassical
with,18,
oo,18,
mon,18,neoclassical
twi,18,neoclassical
regio,18,neoclassical
colo,18,neoclassical
epoxy,18,neoclassical
bucco,18,neoclassical
infero,18,neoclassical
ileo,18,neoclassical
Mc,17,
Anglo,17,
clino,17,neoclassical
vice,17,neoclassical
quad,17,neoclassical
actino,17,neoclassical
rheo,17,neoclassical
adipo,17,neoclassical
biblio,17,neoclassical
silico,17,neoclassical
pubo,17,neoclassical
tribo,17,neoclassical
glio,17,neoclassical
viro,17,neoclassical
reticulo,17,neoclassical
chorio,17,neoclassical
entomo,17,neoclassical
proximo,17,neoclassical
vesico,17,neoclassical
um,17,neoclassical
roto,17,neoclassical
megalo,17,neoclassical
uretero,17,neoclassical
arthro,17,neoclassical
abdomino,16,neoclassical
arc,16,neoclassical
com,16,neoclassical
nether,16,neoclassical
sex,16,neoclassical
lacto,16,neoclassical
idio,16,neoclassical
ana,16,neoclassical
schizo,16,neoclassical
sarco,16,neoclassical
palato,16,neoclassical
utero,16,neoclassical
il,16,
cata,15,neoclassical
chemi,15,neoclassical
heli,15,neoclassical
ter,15,neoclassical
iatro,15,neoclassical
cupro,15,neoclassical
tracheo,15,neoclassical
deutero,15,neoclassical
glacio,15,neoclassical
lepto,15,neoclassical
supero,15,neoclassical
tecto,15,neoclassical
diplo,15,neoclassical
esophago,15,neoclassical
spondylo,15,neoclassical
Indo,14,
ker,14,neoclassical
arterio,14,neoclassical
ant,14,neoclassical
visco,14,neoclassical
benz,14,neoclassical
arseno,14,neoclassical
magnesio,14,neoclassical
viscero,14,neoclassical
spatio,14,neoclassical
feto,14,neoclassical
gero,14,neoclassical
aniso,14,neoclassical
archi,14,neoclassical
